WTime,TOC,T-N,T-P
2020-03-14,3.5,3.773,0.031
2020-04-16,4.7,2.643,0.009
2019-03-25,3.6,3.181,0.026
2019-07-08,5.6,1.743,0.055
2019-08-31,4.9,0.894,0.052
2019-09-09,,,
2019-12-08,3.5,1.05,0.009
2019-12-17,3.1,1.156,0.015
2018-12-23,3,1.597,0.01
2019-01-01,3.4,1.223,0.012
2019-01-07,3.2,,0.013
2019-03-16,3.7,3.23,0.013
2019-11-27,3.9,1.207,0.013
2020-01-16,3.2,,0.048
2018-11-21,3.7,1.49,0.015
2019-12-29,4.5,1.083,0.015
2019-02-27,4.8,2.874,0.041
2019-04-15,3.6,2.322,
2019-10-31,3.8,0.829,0.015
2020-02-04,3.3,,0.033
2020-03-05,,4.049,0.034
2020-06-20,5.1,1.604,0.062
2019-02-07,3.8,2.052,0.016
2019-05-08,4.2,1.854,0.024
2019-05-22,5.2,1.529,0.025
2020-02-06,3.6,1.769,0.029
2020-03-28,4,3.118,0.014
2020-04-12,4.4,2.928,0.01
2020-05-20,4.3,1.818,0.029
2018-12-19,3,1.677,0.014
2019-07-06,5.5,1.867,0.064
2020-01-05,3.2,1.136,0.017
2020-02-22,,1.862,0.032
2020-03-27,4,3.412,0.014
2020-05-23,4.5,1.71,0.024
2020-06-13,,,
2019-03-11,3.8,3.405,0.025
2020-01-30,3.1,1.686,0.038
2020-03-01,,3.576,0.05
2018-11-06,2.9,1.083,
2018-11-10,2.8,1.477,0.017
2018-11-22,3.7,1.483,0.015
2018-11-29,3.6,1.452,0.01
2018-12-02,3.4,1.459,0.013
2019-01-18,3.4,1.957,0.016
2018-01-14,,2.467,0.05
2018-11-02,3.3,1.263,
2018-11-03,3.1,1.108,
2018-11-04,3,1.066,
2018-11-09,2.9,1.595,0.019
2018-11-11,2.8,1.523,0.017
2018-11-12,,1.59,0.018
2018-11-15,4.1,1.547,0.016
2018-11-17,3.7,1.411,0.013
2018-11-18,3.7,1.476,0.014
2018-11-19,3.7,1.528,0.014
2018-11-30,3.5,1.48,
2019-09-07,,,
2019-09-08,,,
2019-09-10,,,
2019-09-11,,0.643,0.043
2019-09-14,5,0.983,0.089
2019-09-15,4.9,0.939,0.068
2019-09-16,5,1.05,0.065
2019-12-09,3.4,1.076,0.009
2018-11-08,2.6,1.556,
2018-11-14,,1.534,0.017
2018-11-20,3.6,1.418,0.013
2018-11-25,3.5,1.475,0.01
2018-11-27,3.4,1.512,0.009
2018-12-01,3.4,1.389,0.012
2018-12-03,3.3,1.605,0.015
2019-12-27,3.2,1.124,0.015
2019-01-03,3.4,1.316,0.011
2019-03-06,3.7,3.694,0.036
2019-04-05,3.7,2.427,0.023
2019-06-04,5.5,2.056,0.025
2019-07-10,7.8,1.673,0.054
2019-07-22,5.1,2.958,0.107
2019-09-24,,,
2019-10-05,4.9,1.203,0.037
2019-10-19,4,0.747,
2019-01-25,3.5,1.846,0.012
2019-03-15,3.7,3.34,0.014
2019-04-04,3.8,2.326,0.022
2019-04-24,3.5,1.845,0.018
2019-06-05,5.6,2.117,0.028
2019-06-21,6,,0.036
2019-07-19,5.3,2.479,0.087
2019-08-25,5.1,0.802,0.06
2019-09-04,4.5,0.261,
2019-09-20,5.2,0.913,0.05
2019-10-28,3.9,0.685,0.021
2019-12-01,3.6,1.114,0.014
2019-12-04,3.6,1.034,0.011
2019-12-06,,,
2019-12-07,3.5,1.003,0.009
2019-12-11,3.3,1.11,0.01
2019-12-13,3.3,1.029,0.01
2019-12-16,3.2,1.062,
2019-12-20,3.3,1.122,0.014
2019-12-24,3.7,1.111,0.013
2019-12-30,3.7,1.173,0.017
2020-01-02,3.7,1.148,0.009
2020-03-18,3.7,3.783,0.028
2020-05-10,4.8,1.946,0.019
2020-05-15,4.5,2.06,0.017
2020-05-18,4.3,2.233,0.022
2020-05-24,4.3,1.802,0.032
2020-05-27,4.5,1.731,0.021
2020-05-28,4.4,1.78,0.023
2020-06-14,,,
2020-06-15,,,
2018-12-21,3,1.592,0.01
2019-06-26,6.2,1.011,0.028
2019-09-17,5.3,1.165,0.063
2019-10-02,4.5,0.68,0.077
2020-03-25,,3.321,0.017
2020-05-14,4.7,1.855,0.021
2018-12-06,3.4,1.413,0.011
2018-12-08,3.4,1.436,0.012
2018-12-10,3.4,1.347,0.012
2018-12-13,3.4,1.625,0.015
2018-12-15,3.2,1.52,0.014
2018-12-16,3.1,1.636,0.013
2018-12-20,3,1.648,0.012
2018-12-22,2.9,1.622,0.01
2018-12-24,3,1.608,0.01
2018-12-27,3.2,1.634,0.011
2018-12-31,3.3,1.583,0.012
2019-01-10,3.4,1.591,0.012
2019-02-02,3.5,1.863,0.013
2019-02-05,3.7,1.926,0.017
2019-02-06,3.8,1.92,0.017
2019-02-08,3.9,1.947,0.015
2019-02-12,3.9,1.932,0.021
2019-02-13,3.8,2.025,
2019-02-15,3.6,2.226,0.016
2019-02-16,3.6,2.12,0.018
2019-02-20,3.9,2.349,0.027
2019-02-22,3.7,2.265,0.019
2019-02-23,3.7,2.322,0.02
2019-02-26,4.1,2.539,0.025
2019-02-28,4.2,2.917,0.032
2019-03-03,3.8,3.129,0.033
2019-03-05,3.7,3.61,0.036
2019-03-07,,3.459,0.031
2019-03-08,,3.338,0.026
2019-03-10,4.1,3.403,0.027
2019-03-14,3.8,3.225,0.014
2019-03-17,3.7,3.281,0.013
2019-03-21,3.4,3.622,0.023
2019-03-23,3.6,3.408,0.024
2019-03-24,3.7,3.435,0.025
2019-03-28,3.7,2.59,0.023
2019-03-30,3.6,2.56,0.02
